"","Airline","Aircraft","FlightDuration","TravelMonth","IsInternational","SeatsEconomy","SeatsPremium","PitchEconomy","PitchPremium","WidthEconomy","WidthPremium","PriceEconomy","PricePremium","PriceRelative","SeatsTotal","FractionPremiumSeats","PitchDifference","WidthDifference"
"239","British","AirBus",1.83,"Oct","International",303,55,31,38,18,19,126,156,0.23,358,0.15,7,1
"240","British","AirBus",1.25,"Aug","International",303,55,31,38,18,19,109,141,0.3,358,0.15,7,1
"241","British","AirBus",1.25,"Sep","International",303,55,31,38,18,19,109,141,0.3,358,0.15,7,1
"242","British","Boeing",1.25,"Sep","International",303,55,31,38,18,19,109,141,0.3,358,0.15,7,1
"243","British","AirBus",3.58,"Oct","International",303,55,31,38,18,19,104,131,0.25,358,0.15,7,1
"244","British","AirBus",2.83,"Oct","International",303,55,31,38,18,19,97,125,0.29,358,0.15,7,1
"245","British","Boeing",1.33,"Aug","International",303,55,31,38,18,19,77,99,0.29,358,0.15,7,1
"246","British","Boeing",1.33,"Sep","International",303,55,31,38,18,19,77,99,0.29,358,0.15,7,1
"247","British","Boeing",1.25,"Oct","International",303,55,31,38,18,19,69,97,0.4,358,0.15,7,1
"248","British","AirBus",2.41,"Oct","International",312,55,31,38,18,19,74,97,0.31,367,0.15,7,1
"249","British","Boeing",1.33,"Oct","International",303,55,31,38,18,19,65,86,0.33,358,0.15,7,1
"250","Delta","AirBus",8.33,"Aug","International",233,38,31,38,18,21,1778,2588,0.46,271,0.14,7,3
"251","Delta","AirBus",8.33,"Oct","International",233,38,31,38,18,21,1778,2588,0.46,271,0.14,7,3
"252","Delta","AirBus",9.5,"Aug","International",233,38,31,38,18,21,1999,2765,0.38,271,0.14,7,3
"253","Delta","AirBus",9.5,"Sep","International",233,38,31,38,18,21,1999,2765,0.38,271,0.14,7,3
"254","Delta","AirBus",9.5,"Oct","International",233,38,31,38,18,21,1999,2765,0.38,271,0.14,7,3
"255","Delta","AirBus",8.33,"Sep","International",233,38,31,38,18,21,1985,2588,0.3,271,0.14,7,3
"256","Delta","Boeing",4.28,"Sep","Domestic",126,18,32,34,17,17,288,327,0.14,144,0.13,2,0
"257","Delta","Boeing",4.25,"Oct","Domestic",126,18,32,34,17,17,288,327,0.14,144,0.13,2,0
"258","Delta","Boeing",4.33,"Aug","Domestic",171,29,32,35,18,18,298,337,0.13,200,0.15,3,0
"259","Delta","Boeing",4.63,"Aug","Domestic",126,18,32,34,17,17,363,407,0.12,144,0.13,2,0
"260","Delta","Boeing",4.65,"Sep","Domestic",126,18,32,34,17,17,363,407,0.12,144,0.13,2,0
"261","Delta","Boeing",4.66,"Oct","Domestic",126,18,32,34,17,17,363,407,0.12,144,0.13,2,0
"262","Delta","Boeing",4.7,"Jul","Domestic",139,21,31,34,17,17,413,457,0.11,160,0.13,3,0
"263","Delta","Boeing",4.7,"Sep","Domestic",139,21,31,34,17,17,413,457,0.11,160,0.13,3,0
"264","Delta","Boeing",4.7,"Oct","Domestic",139,21,31,34,17,17,413,457,0.11,160,0.13,3,0
"265","Delta","Boeing",4.36,"Sep","Domestic",126,18,32,34,17,17,413,457,0.11,144,0.13,2,0
"266","Delta","Boeing",4.25,"Oct","Domestic",126,18,32,34,17,17,413,457,0.11,144,0.13,2,0
"267","Delta","Boeing",4.43,"Oct","Domestic",126,18,32,34,17,17,340,379,0.11,144,0.13,2,0
"268","Delta","Boeing",4.7,"Aug","Domestic",139,21,31,34,17,17,423,467,0.1,160,0.13,3,0
"269","Delta","Boeing",4.51,"Aug","Domestic",171,29,32,35,18,18,423,467,0.1,200,0.15,3,0
"270","Delta","Boeing",4.26,"Aug","Domestic",126,18,32,34,17,17,328,362,0.1,144,0.13,2,0
"271","Delta","Boeing",4.4,"Sep","Domestic",126,18,32,34,17,17,328,362,0.1,144,0.13,2,0
"272","Delta","Boeing",4.33,"Jul","Domestic",171,29,32,35,18,18,483,527,0.09,200,0.15,3,0
"273","Delta","Boeing",4.26,"Jul","Domestic",132,26,32,34,17,17,458,497,0.09,158,0.16,2,0
"274","Delta","Boeing",1.91,"Oct","Domestic",136,20,33,35,17,17,166,181,0.09,156,0.13,2,0
"275","Delta","AirBus",1.95,"Sep","Domestic",120,18,32,34,17,17,166,181,0.09,138,0.13,2,0
"276","Delta","Boeing",2.06,"Aug","Domestic",78,20,31,34,18,18,158,173,0.09,98,0.2,3,0
"277","Delta","AirBus",2.26,"Sep","Domestic",120,18,32,34,17,17,329,354,0.08,138,0.13,2,0
"278","Delta","AirBus",2.55,"Oct","Domestic",136,20,33,35,17,17,243,262,0.08,156,0.13,2,0
